Gene ID	Species	GeneName	Symbol
NM_001098830	642394	Homo sapiens	ADARB2 antisense RNA 1(ADARB2-AS1)	ADARB2-AS1
NM_181893	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_181892	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_001098834	2636	Homo sapiens	gastrulation brain homeobox 1(GBX1)	GBX1
NM_181891	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_001098833	56970	Homo sapiens	ataxin 7 like 3(ATXN7L3)	ATXN7L3
NM_181890	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_001098832	84923	Homo sapiens	family with sequence similarity 104 member A(FAM104A)	FAM104A
NM_001098831	118812	Homo sapiens	MORN repeat containing 4(MORN4)	MORN4
NM_201598	196483	Homo sapiens	eukaryotic elongation factor 2 lysine methyltransferase(EEF2KMT)	EEF2KMT
NM_201597	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_001098835	219995	Homo sapiens	membrane spanning 4-domains A15(MS4A15)	MS4A15
NM_201599	9203	Homo sapiens	zinc finger MYM-type containing 3(ZMYM3)	ZMYM3
NM_001098817	125476	Homo sapiens	INO80 complex subunit C(INO80C)	INO80C
NM_001098818	5143	Homo sapiens	phosphodiesterase 4C(PDE4C)	PDE4C
NM_001098819	5143	Homo sapiens	phosphodiesterase 4C(PDE4C)	PDE4C
NM_001098825	641649	Homo sapiens	transmembrane protein 91(TMEM91)	Tmem91
NM_001098824	641649	Homo sapiens	transmembrane protein 91(TMEM91)	Tmem91
NM_001098821	641649	Homo sapiens	transmembrane protein 91(TMEM91)	Tmem91
NM_001098823	641649	Homo sapiens	transmembrane protein 91(TMEM91)	Tmem91
NM_001098822	641649	Homo sapiens	transmembrane protein 91(TMEM91)	Tmem91
NM_001098808	445577	Homo sapiens	chromosome 9 open reading frame 129(C9orf129)	C9orf129
NM_001098816	26011	Homo sapiens	teneurin transmembrane protein 4(TENM4)	TENM4
NM_001098815	9840	Homo sapiens	thymocyte expressed, positive selection associated 1(TESPA1)	TESPA1
NM_001098814	6345	Homo sapiens	sarcalumenin(SRL)	SRL
NM_001098813	23176	Homo sapiens	septin 8(SEPT8)	SEPT8
NM_001098812	23176	Homo sapiens	septin 8(SEPT8)	SEPT8
NM_001098811	23176	Homo sapiens	septin 8(SEPT8)	SEPT8
NM_001113324	100134934	Homo sapiens	TEN1, CST complex subunit(TEN1)	TEN1
NM_181847	347902	Homo sapiens	adhesion molecule with Ig like domain 2(AMIGO2)	AMIGO2
NM_181846	342945	Homo sapiens	zinc finger and SCAN domain containing 22(ZSCAN22)	ZSCAN22
NM_001098800	728239	Homo sapiens	MAGE family member D4(MAGED4)	Maged4
NM_001098801	125228	Homo sapiens	family with sequence similarity 210 member A(FAM210A)	FAM210A
NM_001098802	84131	Homo sapiens	centrosomal protein 78(CEP78)	CEP78
NM_001098805	728747	Homo sapiens	ankyrin repeat domain 20 family member A4(ANKRD20A4)	ANKRD20A4
NM_181842	221527	Homo sapiens	zinc finger and BTB domain containing 12(ZBTB12)	ZBTB12
NM_181843	254552	Homo sapiens	nudix hydrolase 8(NUDT8)	NUDT8
NM_181844	255877	Homo sapiens	B-cell CLL/lymphoma 6B(BCL6B)	BCL6B
NM_181845	284349	Homo sapiens	zinc finger protein 283(ZNF283)	ZNF283
NM_001113347	1889	Homo sapiens	endothelin converting enzyme 1(ECE1)	ECE1
NM_181869	317	Homo sapiens	apoptotic peptidase activating factor 1(APAF1)	APAF1
NM_001113348	1889	Homo sapiens	endothelin converting enzyme 1(ECE1)	ECE1
NM_181868	317	Homo sapiens	apoptotic peptidase activating factor 1(APAF1)	APAF1
NM_001113349	1889	Homo sapiens	endothelin converting enzyme 1(ECE1)	ECE1
NM_001005609	1896	Homo sapiens	ectodysplasin A(EDA)	EDA
NM_198291	6714	Homo sapiens	SRC proto-oncogene, non-receptor tyrosine kinase(SRC)	SRC
NM_181861	317	Homo sapiens	apoptotic peptidase activating factor 1(APAF1)	APAF1
NM_181864	11332	Homo sapiens	acyl-CoA thioesterase 7(ACOT7)	ACOT7
NM_181865	11332	Homo sapiens	acyl-CoA thioesterase 7(ACOT7)	ACOT7
NM_001009584	54470	Homo sapiens	armadillo repeat containing, X-linked 6(ARMCX6)	ARMCX6
NM_181866	11332	Homo sapiens	acyl-CoA thioesterase 7(ACOT7)	ACOT7
NM_018839	55968	Homo sapiens	NSFL1 cofactor(NSFL1C)	NSFL1C
NM_001005610	1896	Homo sapiens	ectodysplasin A(EDA)	EDA
NM_018838	55967	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A12(NDUFA12)	NDUFA12
NM_001005611	1896	Homo sapiens	ectodysplasin A(EDA)	EDA
NM_018837	55959	Homo sapiens	sulfatase 2(SULF2)	SULF2
NM_001005612	1896	Homo sapiens	ectodysplasin A(EDA)	EDA
NM_181879	353514	Homo sapiens	leukocyte immunoglobulin like receptor A5(LILRA5)	LILRA5
NM_018836	55966	Homo sapiens	adherens junctions associated protein 1(AJAP1)	AJAP1
NM_018835	54542	Homo sapiens	ring finger and CCCH-type domains 2(RC3H2)	RC3H2
NM_018834	9782	Homo sapiens	matrin 3(MATR3)	MATR3
NM_018833	6891	Homo sapiens	transporter 2, ATP binding cassette subfamily B member(TAP2)	tap2
NM_198282	340061	Homo sapiens	transmembrane protein 173(TMEM173)	TMEM173
NM_198283	346007	Homo sapiens	eyes shut homolog (Drosophila)(EYS)	EYS
NM_001005619	3691	Homo sapiens	integrin subunit beta 4(ITGB4)	ITGB4
NM_198285	349136	Homo sapiens	WD repeat domain 86(WDR86)	WDR86
NM_198281	285513	Homo sapiens	GPRIN family member 3(GPRIN3)	GPRIN3
NM_198279	256643	Homo sapiens	chromosome X open reading frame 23(CXorf23)	cxorf23
NM_198276	200728	Homo sapiens	transmembrane protein 17(TMEM17)	TMEM17
NM_198275	196264	Homo sapiens	myelin protein zero like 3(MPZL3)	MPZL3
NM_198277	219855	Homo sapiens	solute carrier family 37 member 2(SLC37A2)	SLC37A2
NM_181873	10903	Homo sapiens	myotubularin related protein 11(MTMR11)	MTMR11
NM_018841	55970	Homo sapiens	G protein subunit gamma 12(GNG12)	GNG12
NM_018842	55971	Homo sapiens	BAI1 associated protein 2 like 1(BAIAP2L1)	BAIAP2L1
NM_181871	5313	Homo sapiens	pyruvate kinase, liver and RBC(PKLR)	PKLR
NM_181872	10655	Homo sapiens	doublesex and mab-3 related transcription factor 2(DMRT2)	DMRT2
NM_018840	55969	Homo sapiens	chromosome 20 open reading frame 24(C20orf24)	c20orf24
NM_181877	54993	Homo sapiens	zinc finger and SCAN domain containing 2(ZSCAN2)	ZSCAN2
NM_181876	5522	Homo sapiens	protein phosphatase 2 regulatory subunit Bgamma(PPP2R2C)	PPP2R2C
NM_201517	94239	Homo sapiens	H2A histone family member V(H2AFV)	H2AFV
NM_171846	114294	Homo sapiens	lactamase beta(LACTB)	LACTB
NM_198378	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_198379	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_201516	94239	Homo sapiens	H2A histone family member V(H2AFV)	H2AFV
NM_198376	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_198377	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_201515	51535	Homo sapiens	periphilin 1(PPHLN1)	PPHLN1
NM_198384	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_198383	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_198382	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_198381	2001	Homo sapiens	E74 like ETS transcription factor 5(ELF5)	ELF5
NM_198380	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_001113363	57533	Homo sapiens	TBC1 domain family member 14(TBC1D14)	TBC1D14
NM_001113361	57533	Homo sapiens	TBC1 domain family member 14(TBC1D14)	TBC1D14
NM_198389	10630	Homo sapiens	podoplanin(PDPN)	PDPN
NM_201521	89953	Homo sapiens	kinesin light chain 4(KLC4)	KLC4
NM_201520	399512	Homo sapiens	solute carrier family 25 member 35(SLC25A35)	SLC25A35
NM_201523	89953	Homo sapiens	kinesin light chain 4(KLC4)	KLC4
NM_201522	89953	Homo sapiens	kinesin light chain 4(KLC4)	KLC4
NM_198385	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_201525	9289	Homo sapiens	adhesion G protein-coupled receptor G1(ADGRG1)	ADGRG1
NM_198386	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_201524	9289	Homo sapiens	adhesion G protein-coupled receptor G1(ADGRG1)	ADGRG1
NM_198387	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_198388	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_201526	3671	Homo sapiens	immunoglobulin superfamily containing leucine rich repeat(ISLR)	ISLR
NM_198393	56155	Homo sapiens	testis expressed 14, intercellular bridge forming factor(TEX14)	TEX14
NM_198392	6943	Homo sapiens	transcription factor 21(TCF21)	TCF21
NM_198395	10146	Homo sapiens	G3BP stress granule assembly factor 1(G3BP1)	G3BP1
NM_198391	23767	Homo sapiens	fibronectin leucine rich transmembrane protein 3(FLRT3)	FLRT3
NM_198390	80790	Homo sapiens	c-Maf inducing protein(CMIP)	CMIP
NM_001003443	390083	Homo sapiens	olfactory receptor family 56 subfamily A member 3(OR56A3)	OR56A3
NM_201539	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_201538	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_201537	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_201536	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_201535	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_198353	386617	Homo sapiens	potassium channel tetramerization domain containing 8(KCTD8)	KCTD8
NM_201533	8525	Homo sapiens	diacylglycerol kinase zeta(DGKZ)	DGKZ
NM_201532	8525	Homo sapiens	diacylglycerol kinase zeta(DGKZ)	DGKZ
NM_201540	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_201541	57447	Homo sapiens	NDRG family member 2(NDRG2)	NDRG2
NM_001113378	55215	Homo sapiens	Fanconi anemia complementation group I(FANCI)	FANCI
NM_001113381	5999	Homo sapiens	regulator of G-protein signaling 4(RGS4)	RGS4
NM_001113382	90342	Homo sapiens	fer-1 like family member 5(FER1L5)	FER1L5
NM_001113380	5999	Homo sapiens	regulator of G-protein signaling 4(RGS4)	RGS4
NM_201546	200008	Homo sapiens	CUB domain containing protein 2(CDCP2)	CDCP2
NM_201548	375298	Homo sapiens	ceramide kinase like(CERKL)	CERKL
NM_201543	3964	Homo sapiens	galectin 8(LGALS8)	LGALS8
NM_201542	112950	Homo sapiens	mediator complex subunit 8(MED8)	MED8
NM_201545	3964	Homo sapiens	galectin 8(LGALS8)	LGALS8
NM_201544	3964	Homo sapiens	galectin 8(LGALS8)	LGALS8
NM_201550	376132	Homo sapiens	leucine rich repeat containing 10(LRRC10)	LRRC10
NM_201551	4745	Homo sapiens	neural EGFL like 1(NELL1)	NELL1
NM_201552	2267	Homo sapiens	fibrinogen like 1(FGL1)	fgl1
NM_201555	2274	Homo sapiens	four and a half LIM domains 2(FHL2)	FHL2
NM_198337	3638	Homo sapiens	insulin induced gene 1(INSIG1)	INSIG1
NM_198336	3638	Homo sapiens	insulin induced gene 1(INSIG1)	INSIG1
NM_201553	2267	Homo sapiens	fibrinogen like 1(FGL1)	fgl1
NM_198335	23193	Homo sapiens	glucosidase II alpha subunit(GANAB)	GANAB
NM_201554	1606	Homo sapiens	diacylglycerol kinase alpha(DGKA)	DGKA
NM_198334	23193	Homo sapiens	glucosidase II alpha subunit(GANAB)	GANAB
NM_198333	27334	Homo sapiens	purinergic receptor P2Y10(P2RY10)	p2ry10
NM_201559	2309	Homo sapiens	forkhead box O3(FOXO3)	FOXO3
NM_201557	2274	Homo sapiens	four and a half LIM domains 2(FHL2)	FHL2
NM_001113397	151126	Homo sapiens	zinc finger protein 385B(ZNF385B)	ZNF385B
NM_001113398	151126	Homo sapiens	zinc finger protein 385B(ZNF385B)	ZNF385B
NM_018899	56134	Homo sapiens	protocadherin alpha subfamily C, 2(PCDHAC2)	PCDHAC2
NM_018898	56135	Homo sapiens	protocadherin alpha subfamily C, 1(PCDHAC1)	PCDHAC1
NM_201563	9103	Homo sapiens	Fc fragment of IgG receptor IIc (gene/pseudogene)(FCGR2C)	FCGR2C
NM_201566	201232	Homo sapiens	solute carrier family 16 member 13(SLC16A13)	SLC16A13
NM_201567	993	Homo sapiens	cell division cycle 25A(CDC25A)	CDC25A
NM_201568	9887	Homo sapiens	SMG7, nonsense mediated mRNA decay factor(SMG7)	SMG7
NM_201569	9887	Homo sapiens	SMG7, nonsense mediated mRNA decay factor(SMG7)	SMG7
NM_018896	8913	Homo sapiens	calcium voltage-gated channel subunit alpha1 G(CACNA1G)	CACNA1G
NM_018897	56171	Homo sapiens	dynein axonemal heavy chain 7(DNAH7)	DNAH7
NM_018890	5879	Homo sapiens	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)(RAC1)	RAC1
NM_018891	3918	Homo sapiens	laminin subunit gamma 2(LAMC2)	LAMC2
NM_201570	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_201572	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_001003408	3983	Homo sapiens	actin binding LIM protein 1(ABLIM1)	ABLIM1
NM_201571	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_001003406	8911	Homo sapiens	calcium voltage-gated channel subunit alpha1 I(CACNA1I)	CACNA1I
NM_201574	6508	Homo sapiens	solute carrier family 4 member 3(SLC4A3)	SLC4A3
NM_001003407	3983	Homo sapiens	actin binding LIM protein 1(ABLIM1)	ABLIM1
NM_198310	123016	Homo sapiens	tetratricopeptide repeat domain 8(TTC8)	TTC8
NM_198315	4013	Homo sapiens	von Willebrand factor A domain containing 5A(VWA5A)	VWA5A
NM_201575	26470	Homo sapiens	seizure related 6 homolog like 2(SEZ6L2)	SEZ6L2
NM_198319	3276	Homo sapiens	protein arginine methyltransferase 1(PRMT1)	PRMT1
NM_198318	3276	Homo sapiens	protein arginine methyltransferase 1(PRMT1)	PRMT1
NM_198317	339451	Homo sapiens	kelch like family member 17(KLHL17)	KLHL17
NM_198316	23371	Homo sapiens	tensin 2(TNS2)	TNS2
NM_171829	27094	Homo sapiens	potassium calcium-activated channel subfamily M regulatory beta subunit 3(KCNMB3)	KCNMB3
NM_171827	925	Homo sapiens	CD8a molecule(CD8A)	CD8A
NM_171828	27094	Homo sapiens	potassium calcium-activated channel subfamily M regulatory beta subunit 3(KCNMB3)	KCNMB3
NM_171825	815	Homo sapiens	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)	CAMK2A
NM_198320	1368	Homo sapiens	carboxypeptidase M(CPM)	CPM
NM_198321	55568	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 10(GALNT10)	GALNT10
NM_201589	389692	Homo sapiens	MAF bZIP transcription factor A(MAFA)	MAFA
NM_181900	80765	Homo sapiens	StAR related lipid transfer domain containing 5(STARD5)	STARD5
NM_198329	79876	Homo sapiens	ubiquitin like modifier activating enzyme 5(UBA5)	UBA5
NM_171830	27094	Homo sapiens	potassium calcium-activated channel subfamily M regulatory beta subunit 3(KCNMB3)	KCNMB3
NM_201593	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_201596	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_201595	2957	Homo sapiens	general transcription factor IIA subunit 1(GTF2A1)	GTF2A1
NM_201590	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_201592	2823	Homo sapiens	glycoprotein M6A(GPM6A)	GPM6A
NM_201591	2823	Homo sapiens	glycoprotein M6A(GPM6A)	GPM6A
NM_006528	7980	Homo sapiens	tissue factor pathway inhibitor 2(TFPI2)	TFPI2
NM_006527	7884	Homo sapiens	stem-loop binding protein(SLBP)	SLBP
NM_006529	8001	Homo sapiens	glycine receptor alpha 3(GLRA3)	GLRA3
NM_006524	7697	Homo sapiens	zinc finger protein 138(ZNF138)	ZNF138
NM_006526	7764	Homo sapiens	zinc finger protein 217(ZNF217)	ZNF217
NM_130395	56897	Homo sapiens	Werner helicase interacting protein 1(WRNIP1)	WRNIP1
NM_001009615	494119	Homo sapiens	SPANX family member N2(SPANXN2)	SPANXN2
NM_130398	9156	Homo sapiens	exonuclease 1(EXO1)	EXO1
NM_001024656	554235	Homo sapiens	aspartate dehydrogenase domain containing(ASPDH)	ASPDH
NM_001009614	494118	Homo sapiens	SPANX family member N1(SPANXN1)	SPANXN1
NM_001009612	400831	Homo sapiens	chromosome 20 open reading frame 202(C20orf202)	C20orf202
NM_001009611	400735	Homo sapiens	PRAME family member 4(PRAMEF4)	PRAMEF4
NM_001009610	728130	Homo sapiens	NUT family member 2D(NUTM2D)	NUTM2D
NM_006530	8089	Homo sapiens	YEATS domain containing 4(YEATS4)	YEATS4
NM_006531	8100	Homo sapiens	intraflagellar transport 88(IFT88)	IFT88
NM_006532	8178	Homo sapiens	elongation factor for RNA polymerase II(ELL)	ELL
NM_006533	8190	Homo sapiens	melanoma inhibitory activity(MIA)	MIA
NM_006539	10368	Homo sapiens	calcium voltage-gated channel auxiliary subunit gamma 3(CACNG3)	CACNG3
NM_006538	10018	Homo sapiens	BCL2 like 11(BCL2L11)	BCL2L11
NM_006537	9960	Homo sapiens	ubiquitin specific peptidase 3(USP3)	USP3
NM_006536	9635	Homo sapiens	chloride channel accessory 2(CLCA2)	CLCA2
NM_006534	8202	Homo sapiens	nuclear receptor coactivator 3(NCOA3)	NCOA3
NM_001009606	64711	Homo sapiens	heparan sulfate-glucosamine 3-sulfotransferase 6(HS3ST6)	HS3ST6
NM_001024662	6128	Homo sapiens	ribosomal protein L6(RPL6)	RPL6
NM_001024661	729528	Homo sapiens	PRAME family member 14(PRAMEF14)	PRAMEF14
NM_001009608	128710	Homo sapiens	SLX4 interacting protein(SLX4IP)	slx4ip
NM_001009609	139067	Homo sapiens	SPANX family member N3(SPANXN3)	SPANXN3
NM_001024666	30011	Homo sapiens	SH3 domain containing kinase binding protein 1(SH3KBP1)	SH3KBP1
NM_001024668	25875	Homo sapiens	LETM1 domain containing 1(LETMD1)	LETMD1
NM_198309	123016	Homo sapiens	tetratricopeptide repeat domain 8(TTC8)	TTC8
NM_001024660	8997	Homo sapiens	kalirin, RhoGEF kinase(KALRN)	KALRN
NM_006544	10640	Homo sapiens	exocyst complex component 5(EXOC5)	EXOC5
NM_006541	10539	Homo sapiens	glutaredoxin 3(GLRX3)	GLRX3
NM_006542	10638	Homo sapiens	S-phase response (cyclin related)(SPHAR)	SPHAR
NM_006540	10499	Homo sapiens	nuclear receptor coactivator 2(NCOA2)	NCOA2
NM_006502	5429	Homo sapiens	DNA polymerase eta(POLH)	POLH
NM_006504	5791	Homo sapiens	protein tyrosine phosphatase, receptor type E(PTPRE)	PTPRE
NM_006503	5704	Homo sapiens	proteasome 26S subunit, ATPase 4(PSMC4)	PSMC4
NM_006506	5922	Homo sapiens	RAS p21 protein activator 2(RASA2)	RASA2
NM_006505	5817	Homo sapiens	poliovirus receptor(PVR)	PVR
NM_001024679	100129271	Homo sapiens	chromosome 1 open reading frame 68(C1orf68)	C1orf68
NM_006509	5971	Homo sapiens	RELB proto-oncogene, NF-kB subunit(RELB)	RELB
NM_001024678	441381	Homo sapiens	leucine rich repeat containing 24(LRRC24)	LRRC24
NM_001024675	170487	Homo sapiens	actin like 10(ACTL10)	ACTL10
NM_001024674	91750	Homo sapiens	lin-52 DREAM MuvB core complex component(LIN52)	LIN52
NM_006510	5987	Homo sapiens	tripartite motif containing 27(TRIM27)	TRIM27
NM_006511	6248	Homo sapiens	regulator of solute carriers 1(RSC1A1)	RSC1A1
NM_006515	6419	Homo sapiens	SET domain and mariner transposase fusion gene(SETMAR)	setmar
NM_006514	6336	Homo sapiens	sodium voltage-gated channel alpha subunit 10(SCN10A)	SCN10A
NM_006513	6301	Homo sapiens	seryl-tRNA synthetase(SARS)	SARS
NM_006512	6291	Homo sapiens	serum amyloid A4, constitutive(SAA4)	SAA4
NM_006519	6993	Homo sapiens	dynein light chain Tctex-type 1(DYNLT1)	DYNLT1
NM_006517	6567	Homo sapiens	solute carrier family 16 member 2(SLC16A2)	SLC16A2
NM_006516	6513	Homo sapiens	solute carrier family 2 member 1(SLC2A1)	SLC2A1
NM_001024683	146542	Homo sapiens	zinc finger protein 688(ZNF688)	ZNF688
NM_001024680	554251	Homo sapiens	F-box protein 48(FBXO48)	FBXO48
NM_006521	7030	Homo sapiens	transcription factor binding to IGHM enhancer 3(TFE3)	TFE3
NM_006522	7475	Homo sapiens	Wnt family member 6(WNT6)	WNT6
NM_006520	6990	Homo sapiens	dynein light chain Tctex-type 3(DYNLT3)	DYNLT3
NM_001079522	3895	Homo sapiens	kinectin 1(KTN1)	KTN1
NM_001079524	10606	Homo sapiens	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)	PAICS
NM_001079525	10606	Homo sapiens	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)	PAICS
NM_001024613	389549	Homo sapiens	FEZ family zinc finger 1(FEZF1)	FEZF1
NM_001079520	51339	Homo sapiens	dishevelled binding antagonist of beta catenin 1(DACT1)	DACT1
NM_001024611	339977	Homo sapiens	leucine rich repeat containing 66(LRRC66)	LRRC66
NM_001079521	3895	Homo sapiens	kinectin 1(KTN1)	KTN1
NM_001079526	22807	Homo sapiens	IKAROS family zinc finger 2(IKZF2)	IKZF2
NM_001079527	653316	Homo sapiens	family with sequence similarity 153, member C, pseudogene(FAM153C)	FAM153C
NM_001079528	368	Homo sapiens	ATP binding cassette subfamily C member 6(ABCC6)	ABCC6
NM_001079529	202134	Homo sapiens	family with sequence similarity 153 member B(FAM153B)	FAM153B
NM_001079535	64506	Homo sapiens	cytoplasmic polyadenylation element binding protein 1(CPEB1)	CPEB1
NM_001079536	116969	Homo sapiens	ADP-ribosyltransferase 5(ART5)	ART5
NM_001079533	64506	Homo sapiens	cytoplasmic polyadenylation element binding protein 1(CPEB1)	CPEB1
NM_001079534	64506	Homo sapiens	cytoplasmic polyadenylation element binding protein 1(CPEB1)	CPEB1
NM_001024628	8829	Homo sapiens	neuropilin 1(NRP1)	NRP1
NM_001024629	8829	Homo sapiens	neuropilin 1(NRP1)	NRP1
NM_001079539	7494	Homo sapiens	X-box binding protein 1(XBP1)	XBP1
NM_001079537	122553	Homo sapiens	trafficking protein particle complex 6B(TRAPPC6B)	TRAPPC6B
NM_006500	4162	Homo sapiens	melanoma cell adhesion molecule(MCAM)	MCAM
